LEDGER_NAME,PERIOD_NAME,JOURNAL_NAME,LINE_DESCRIPTION,ACCOUNT_CODE,CURRENCY_CODE,ENTERED_DR,ENTERED_CR,ACCOUNTING_DATE,REFERENCE
US Primary,Mar-26,J-UNKNOWN-ACCT,bad account,1234,USD,100.00,,2026-03-05,A1
US Primary,Mar-26,J-UNKNOWN-ACCT,cash,1000,USD,,100.00,2026-03-05,A1
US Primary,Mar-26,J-DISABLED,suspense,9999,USD,50.00,,2026-03-05,B1
US Primary,Mar-26,J-DISABLED,cash,1000,USD,,50.00,2026-03-05,B1
US Primary,Feb-26,J-CLOSED,closed period,6000,USD,10.00,,2026-02-10,C1
US Primary,Feb-26,J-CLOSED,cash,1000,USD,,10.00,2026-02-10,C1
US Primary,Mar-26,J-DATE,date outside period,6000,USD,10.00,,2026-04-02,D1
US Primary,Mar-26,J-DATE,cash,1000,USD,,10.00,2026-03-02,D1
US Primary,Mar-26,J-UNBAL,unbalanced,6000,USD,100.00,,2026-03-02,E1
US Primary,Mar-26,J-UNBAL,cash,1000,USD,,90.00,2026-03-02,E1
US Primary,Mar-26,J-CCY,foreign currency,6000,EUR,10.00,,2026-03-02,F1
US Primary,Mar-26,J-CCY,cash,1000,EUR,,10.00,2026-03-02,F1
US Primary,Mar-26,J-CCY2,unknown currency,6000,XXX,10.00,,2026-03-02,G1
US Primary,Mar-26,J-CCY2,cash,1000,XXX,,10.00,2026-03-02,G1
US Primary,Mar-26,J-DUP,dup line,6000,USD,10.00,,2026-03-02,H1
US Primary,Mar-26,J-DUP,dup line,6000,USD,10.00,,2026-03-02,H1
US Primary,Mar-26,J-DUP,cash,1000,USD,,20.00,2026-03-02,H1
US Primary,Mar-26,J-BOTH,both sides,6000,USD,5.00,5.00,2026-03-02,I1
US Primary,Mar-26,J-MISSING,missing period,6000,USD,1.00,,2026-03-02,K1
US Primary,,J-MISSING,cash,1000,USD,,1.00,2026-03-02,K1
Other Ledger,Mar-26,J-LEDGER,unknown ledger,6000,USD,1.00,,2026-03-02,L1
Other Ledger,Mar-26,J-LEDGER,cash,1000,USD,,1.00,2026-03-02,L1
US Primary,Bad-99,J-PERIOD,unknown period,6000,USD,1.00,,2026-03-02,M1
US Primary,Bad-99,J-PERIOD,cash,1000,USD,,1.00,2026-03-02,M1
